name,num_file,xDim,yDim,m2,num_mics,num_comb,freq,NMSE,SSIM,pattern,p_real,p_predicted,p_previous
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,30,0.04512489006691957,0.692039387974122,[ 3 24 42 56 57],-20.68486074061603,-21.37909173965454,-18.416049926668915
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,31,0.0683193016830132,0.6258137218905567,[ 3 24 42 56 57],-21.597599908786037,-22.37220287322998,-19.68043353065193
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,32,0.08503379599793108,0.6761019232855587,[ 3 24 42 56 57],-23.776292186393974,-25.430963039398193,-21.830386483307965
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,33,0.073457701559712,0.6754823191354772,[ 3 24 42 56 57],-23.621684245842584,-25.303609371185303,-21.94606976836473
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,35,0.08507953356321661,0.7023950665272165,[ 3 24 42 56 57],-22.16831727453258,-23.782873153686523,-20.51678561780799
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,36,0.0701759605666446,0.6319772202185922,[ 3 24 42 56 57],-17.028961862129375,-17.58178472518921,-14.671372490443426
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,38,0.0978970852579543,0.6672811861134209,[ 3 24 42 56 57],-19.965322057330233,-19.843891859054565,-16.82252213165095
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,40,0.21087951276726982,0.3278786249813935,[ 3 24 42 56 57],-18.363949640099943,-17.769863605499268,-16.367793222188002
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,41,0.10096682379270634,0.5311795503879273,[ 3 24 42 56 57],-17.29328393695424,-17.379318475723267,-14.601120613263296
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,43,0.08120319252683816,0.5378049627597292,[ 3 24 42 56 57],-16.957698445537776,-16.99977993965149,-12.775800391665816
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,45,0.09196861784823394,0.5656695005511142,[ 3 24 42 56 57],-20.005193533473115,-21.953246593475342,-16.0927013175675
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,47,0.23237674108414139,0.37475299414931224,[ 3 24 42 56 57],-20.208043963970084,-23.555912971496582,-16.066285088822063
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,49,0.26260162072804594,0.16598234018566654,[ 3 24 42 56 57],-17.47467398387738,-19.407825469970703,-12.094199901302735
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,51,0.2946113784931998,0.08709482129046016,[ 3 24 42 56 57],-16.16028544150317,-17.189449071884155,-10.236556438186625
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,53,0.3028659563463514,0.11252044744230945,[ 3 24 42 56 57],-16.043908523960983,-18.175129890441895,-10.791952145515307
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,55,0.2734759303836213,0.22583564358208474,[ 3 24 42 56 57],-16.358657771178013,-19.531521797180176,-11.757075663843954
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,58,0.44121724697741616,0.16720481400409218,[ 3 24 42 56 57],-16.751616436193117,-17.859479188919067,-12.20057177733679
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,60,0.5857673753169107,0.2419343800103489,[ 3 24 42 56 57],-16.682745416989267,-16.044461727142334,-11.780153132043411
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,63,0.384028791995181,0.4543176076125213,[ 3 24 42 56 57],-16.76311304570929,-15.170354843139648,-10.27890261085211
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,65,0.20784773732701844,0.4844984619194789,[ 3 24 42 56 57],-17.334510579479613,-17.707247734069824,-11.605777041003586
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,68,0.20094771583154192,0.2764411513256385,[ 3 24 42 56 57],-17.384850696682086,-17.71008849143982,-11.655056923433861
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,71,0.21297947224760264,0.3620970059271661,[ 3 24 42 56 57],-16.979723269904447,-16.205334663391113,-10.204948148489859
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,74,0.2541920479753717,0.2999042489385232,[ 3 24 42 56 57],-15.668433998063742,-19.31287169456482,-13.544268191154226
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,77,0.2426840612400548,0.28621298661332006,[ 3 24 42 56 57],-16.969378095571802,-18.966987133026123,-14.638984823764288
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,80,0.22128758223150063,0.34060719692017166,[ 3 24 42 56 57],-13.506834906029258,-15.058846473693848,-10.831054476072952
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,84,0.1959939213100898,0.325544580552195,[ 3 24 42 56 57],-12.128872230807952,-12.049857378005981,-5.715292559161258
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,87,0.28655233161885013,0.2560861064562033,[ 3 24 42 56 57],-12.172463784155669,-16.688765287399292,-8.307864054715246
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,91,0.1534371256406864,0.41226411041657585,[ 3 24 42 56 57],-15.25754379309208,-16.706905364990234,-8.786082337255344
0_d_4.159_6.459_26.862,0,4.159,6.459,26.862,5,0,95,0.23761626370641978,0.19345361245287102,[ 3 24 42 56 57],-13.500235258571225,-13.435307741165161,-6.370262935417427
